,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,Y_R
80,서울특별시,동대문구,용신동,1106081,1123053600,2020,2.0900288
81,서울특별시,동대문구,제기동,1106082,1123054500,2020,2.4779546
82,서울특별시,동대문구,전농1동,1106083,1123056000,2020,2.846974
83,서울특별시,동대문구,전농2동,1106084,1123057000,2020,4.361139
84,서울특별시,동대문구,답십리1동,1106091,1123060000,2020,3.4552047
85,서울특별시,동대문구,답십리2동,1106086,1123061000,2020,3.2258208
86,서울특별시,동대문구,장안1동,1106087,1123065000,2020,3.3800826
87,서울특별시,동대문구,장안2동,1106088,1123066000,2020,4.5821304
88,서울특별시,동대문구,청량리동,1106080,1123070500,2020,2.4610467
89,서울특별시,동대문구,회기동,1106071,1123071000,2020,3.1655686
90,서울특별시,동대문구,휘경1동,1106072,1123072000,2020,2.318025
91,서울특별시,동대문구,휘경2동,1106073,1123073000,2020,3.8713832
92,서울특별시,동대문구,이문1동,1106089,1123074000,2020,3.036965
93,서울특별시,동대문구,이문2동,1106090,1123075000,2020,4.3492646
94,서울특별시,중랑구,면목2동,1107052,1126052000,2020,3.0436356
95,서울특별시,중랑구,면목4동,1107054,1126054000,2020,3.112587
96,서울특별시,중랑구,면목5동,1107055,1126055000,2020,2.8675792
97,서울특별시,중랑구,면목본동,1107071,1126056500,2020,2.475449
98,서울특별시,중랑구,면목7동,1107057,1126057000,2020,2.5858572
99,서울특별시,중랑구,면목3·8동,1107072,1126057500,2020,2.4950345
100,서울특별시,중랑구,상봉1동,1107059,1126058000,2020,3.8064048
101,서울특별시,중랑구,상봉2동,1107060,1126059000,2020,1.7384291
102,서울특별시,중랑구,중화1동,1107061,1126060000,2020,3.2625594
103,서울특별시,중랑구,중화2동,1107062,1126061000,2020,1.8750098
104,서울특별시,중랑구,묵1동,1107064,1126062000,2020,4.3725247
105,서울특별시,중랑구,묵2동,1107065,1126063000,2020,3.1038706
106,서울특별시,중랑구,망우본동,1107073,1126065500,2020,2.7405934
107,서울특별시,중랑구,망우3동,1107068,1126066000,2020,2.8606877
108,서울특별시,중랑구,신내1동,1107069,1126068000,2020,5.1505003
109,서울특별시,중랑구,신내2동,1107070,1126069000,2020,3.893325
110,서울특별시,성북구,성북동,1108081,1129052500,2020,3.194036
111,서울특별시,성북구,삼선동,1108082,1129055500,2020,3.649491
112,서울특별시,성북구,동선동,1108083,1129057500,2020,2.3629725
113,서울특별시,성북구,돈암1동,1108058,1129058000,2020,3.612477
114,서울특별시,성북구,돈암2동,1108059,1129059000,2020,6.064541
115,서울특별시,성북구,안암동,1108060,1129060000,2020,1.9308288
116,서울특별시,성북구,보문동,1108061,1129061000,2020,2.6497335
117,서울특별시,성북구,정릉1동,1108062,1129062000,2020,4.574075
118,서울특별시,성북구,정릉2동,1108063,1129063000,2020,3.6178887
119,서울특별시,성북구,정릉3동,1108064,1129064000,2020,2.5749953
120,서울특별시,성북구,정릉4동,1108065,1129065000,2020,3.8964036
121,서울특별시,성북구,길음1동,1108066,1129066000,2020,7.5225263
122,서울특별시,성북구,길음2동,1108068,1129068500,2020,4.0034018
123,서울특별시,성북구,종암동,1108084,1129070500,2020,4.3968983
124,서울특별시,성북구,월곡1동,1108071,1129071500,2020,5.0002227
125,서울특별시,성북구,월곡2동,1108072,1129072500,2020,3.6233943
