,SD,SGG,NAME_AD,CODE,CODE_AD,ALL,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_99,100_,YEAR
25,서울특별시,중구,다산동,1102070,1114062500,14600.0,312.0,358.0,365.0,633.0,1063.0,1306.0,1236.0,1156.0,1027.0,1242.0,1166.0,1220.0,1096.0,723.0,637.0,591.0,263.0,133.0,48.0,12.0,13.0,2018
26,서울특별시,중구,약수동,1102071,1114063500,17756.0,664.0,660.0,494.0,608.0,930.0,1184.0,1236.0,1549.0,1285.0,1391.0,1387.0,1493.0,1485.0,1014.0,833.0,703.0,494.0,225.0,88.0,18.0,15.0,2018
27,서울특별시,중구,청구동,1102072,1114064500,14652.0,434.0,491.0,453.0,591.0,925.0,1155.0,1238.0,1161.0,994.0,1178.0,1166.0,1299.0,1063.0,697.0,609.0,570.0,345.0,195.0,62.0,18.0,8.0,2018
28,서울특별시,중구,신당5동,1102065,1114065000,9358.0,293.0,296.0,261.0,363.0,613.0,717.0,638.0,748.0,688.0,839.0,880.0,817.0,692.0,465.0,394.0,334.0,191.0,84.0,27.0,9.0,9.0,2018
29,서울특별시,중구,동화동,1102073,1114066500,11043.0,392.0,439.0,447.0,475.0,751.0,859.0,684.0,861.0,796.0,921.0,984.0,994.0,766.0,517.0,371.0,364.0,240.0,104.0,50.0,16.0,12.0,2018
30,서울특별시,중구,황학동,1102067,1114067000,12373.0,470.0,300.0,229.0,330.0,753.0,1313.0,1405.0,1331.0,846.0,967.0,906.0,921.0,826.0,603.0,476.0,343.0,190.0,113.0,31.0,9.0,11.0,2018
31,서울특별시,중구,중림동,1102068,1114068000,12648.0,633.0,439.0,366.0,478.0,676.0,876.0,1153.0,1373.0,958.0,994.0,999.0,1021.0,810.0,556.0,482.0,385.0,255.0,115.0,34.0,20.0,25.0,2018
32,서울특별시,용산구,후암동,1103051,1117051000,18144.0,561.0,585.0,627.0,864.0,1126.0,1432.0,1449.0,1513.0,1319.0,1630.0,1437.0,1472.0,1221.0,873.0,736.0,580.0,386.0,172.0,99.0,37.0,25.0,2018
33,서울특별시,용산구,용산2가동,1103052,1117052000,10689.0,236.0,255.0,292.0,397.0,639.0,1004.0,936.0,933.0,698.0,838.0,751.0,888.0,824.0,622.0,469.0,430.0,262.0,134.0,41.0,20.0,20.0,2018
34,서울특별시,용산구,남영동,1103053,1117053000,7821.0,142.0,115.0,112.0,172.0,366.0,610.0,545.0,515.0,492.0,714.0,821.0,897.0,787.0,518.0,378.0,294.0,176.0,80.0,36.0,23.0,28.0,2018
