,SD,SGG,CODE,CODE_AD,FI,YEAR,INTEREST
37,부산광역시,연제구,21130,2647000000,21.3,2020,0
38,부산광역시,수영구,21140,2650000000,26.2,2020,0
39,부산광역시,사상구,21150,2653000000,23.1,2020,0
40,부산광역시,기장군,21310,2671000000,36.5,2020,0
41,대구광역시,중구,22010,2711000000,27.2,2020,0
42,대구광역시,동구,22020,2714000000,19.6,2020,0
43,대구광역시,서구,22030,2717000000,15.9,2020,1
44,대구광역시,남구,22040,2720000000,15.0,2020,1
45,대구광역시,북구,22050,2723000000,21.5,2020,0
46,대구광역시,수성구,22060,2726000000,29.6,2020,0
47,대구광역시,달서구,22070,2729000000,23.7,2020,0
48,대구광역시,달성군,22310,2771000000,37.2,2020,0
49,인천광역시,중구,23010,2811000000,47.3,2020,0
50,인천광역시,동구,23020,2814000000,19.9,2020,2
51,인천광역시,연수구,23040,2818500000,41.5,2020,0
52,인천광역시,남동구,23050,2820000000,28.5,2020,0
53,인천광역시,부평구,23060,2823700000,22.8,2020,0
54,인천광역시,계양구,23070,2824500000,19.4,2020,0
55,인천광역시,서구,23080,2826000000,34.6,2020,0
56,인천광역시,미추홀구,23090,2817700000,18.5,2020,0
57,인천광역시,강화군,23310,2871000000,16.7,2020,1
58,인천광역시,옹진군,23320,2872000000,11.8,2020,1
59,광주광역시,동구,24010,2911000000,14.7,2020,2
60,광주광역시,서구,24020,2914000000,21.7,2020,0
61,광주광역시,남구,24030,2915500000,12.5,2020,0
62,광주광역시,북구,24040,2917000000,18.3,2020,0
63,광주광역시,광산구,24050,2920000000,22.6,2020,0
64,대전광역시,동구,25010,3011000000,11.9,2020,2
65,대전광역시,중구,25020,3014000000,15.3,2020,2
66,대전광역시,서구,25030,3017000000,20.5,2020,0
67,대전광역시,유성구,25040,3020000000,29.8,2020,0
68,대전광역시,대덕구,25050,3023000000,19.6,2020,2
69,울산광역시,중구,26010,3111000000,20.1,2020,0
70,울산광역시,남구,26020,3114000000,35.4,2020,0
71,울산광역시,동구,26030,3117000000,23.2,2020,0
72,울산광역시,북구,26040,3120000000,29.7,2020,0
73,울산광역시,울주군,26310,3171000000,45.1,2020,0
74,세종특별자치시,세종특별자치시,29,3600000000,64.8,2020,0
75,경기도,수원시,31010,4111000000,51.4,2020,0
76,경기도,성남시,31020,4113000000,63.9,2020,0
77,경기도,의정부시,31030,4115000000,27.2,2020,0
78,경기도,안양시,31040,4117000000,45.8,2020,0
79,경기도,부천시,31050,4119000000,39.4,2020,0
80,경기도,광명시,31060,4121000000,39.5,2020,0
81,경기도,평택시,31070,4122000000,45.6,2020,0
82,경기도,동두천시,31080,4125000000,22.1,2020,2
83,경기도,안산시,31090,4127000000,50.7,2020,0
84,경기도,고양시,31100,4128000000,38.3,2020,0
85,경기도,과천시,31110,4129000000,52.6,2020,0
86,경기도,구리시,31120,4131000000,35.0,2020,0
87,경기도,남양주시,31130,4136000000,31.7,2020,0
88,경기도,오산시,31140,4137000000,41.4,2020,0
89,경기도,시흥시,31150,4139000000,47.5,2020,0
90,경기도,군포시,31160,4141000000,38.5,2020,0
91,경기도,의왕시,31170,4143000000,41.2,2020,0
92,경기도,하남시,31180,4145000000,46.6,2020,0
93,경기도,용인시,31190,4146000000,57.3,2020,0
94,경기도,파주시,31200,4148000000,41.7,2020,0
95,경기도,이천시,31210,4150000000,47.9,2020,0
96,경기도,안성시,31220,4155000000,27.6,2020,0
97,경기도,김포시,31230,4157000000,42.0,2020,0
98,경기도,화성시,31240,4159000000,66.3,2020,0
99,경기도,광주시,31250,4161000000,41.0,2020,0
100,경기도,양주시,31260,4163000000,30.1,2020,0
101,경기도,포천시,31270,4165000000,22.1,2020,2
102,경기도,여주시,31280,4167000000,28.0,2020,0
103,경기도,연천군,31350,4180000000,22.0,2020,1
104,경기도,가평군,31370,4182000000,18.0,2020,1
105,경기도,양평군,31380,4183000000,20.0,2020,0
106,강원도,춘천시,32010,4211000000,22.2,2020,0
107,강원도,원주시,32020,4213000000,21.6,2020,0
108,강원도,강릉시,32030,4215000000,19.4,2020,2
109,강원도,동해시,32040,4217000000,19.2,2020,2
110,강원도,태백시,32050,4219000000,23.7,2020,1
111,강원도,속초시,32060,4221000000,19.9,2020,2
112,강원도,삼척시,32070,4223000000,13.5,2020,1
113,강원도,홍천군,32310,4272000000,14.0,2020,1
114,강원도,횡성군,32320,4273000000,15.1,2020,1
115,강원도,영월군,32330,4275000000,16.6,2020,1
116,강원도,평창군,32340,4276000000,13.1,2020,1
117,강원도,정선군,32350,4277000000,23.2,2020,1
118,강원도,철원군,32360,4278000000,12.0,2020,1
119,강원도,화천군,32370,4279000000,12.2,2020,1
120,강원도,양구군,32380,4280000000,15.4,2020,1
121,강원도,인제군,32390,4281000000,9.0,2020,2
122,강원도,고성군,32400,4282000000,10.6,2020,1
123,강원도,양양군,32410,4283000000,16.3,2020,1
124,충청북도,청주시,33040,4311000000,32.6,2020,0
125,충청북도,충주시,33020,4313000000,18.2,2020,0
126,충청북도,제천시,33030,4315000000,17.6,2020,1
127,충청북도,보은군,33320,4372000000,13.8,2020,1
128,충청북도,옥천군,33330,4373000000,16.8,2020,1
129,충청북도,영동군,33340,4374000000,16.1,2020,1
130,충청북도,증평군,33390,4374500000,19.4,2020,0
131,충청북도,진천군,33350,4375000000,29.4,2020,0
132,충청북도,괴산군,33360,4376000000,9.9,2020,1
133,충청북도,음성군,33370,4377000000,28.7,2020,0
134,충청북도,단양군,33380,4380000000,20.7,2020,1
135,충청남도,천안시,34010,4413000000,44.0,2020,0
136,충청남도,공주시,34020,4415000000,18.8,2020,1
137,충청남도,보령시,34030,4418000000,14.2,2020,1
138,충청남도,아산시,34040,4420000000,38.8,2020,0
139,충청남도,서산시,34050,4421000000,30.5,2020,0
140,충청남도,논산시,34060,4423000000,12.6,2020,1
141,충청남도,계룡시,34070,4425000000,19.4,2020,0
142,충청남도,당진시,34080,4427000000,28.9,2020,0
143,충청남도,금산군,34310,4471000000,21.5,2020,1
144,충청남도,부여군,34330,4476000000,14.2,2020,1
145,충청남도,서천군,34340,4477000000,13.9,2020,1
146,충청남도,청양군,34350,4479000000,15.8,2020,1
147,충청남도,홍성군,34360,4480000000,19.8,2020,0
148,충청남도,예산군,34370,4481000000,14.9,2020,1
149,충청남도,태안군,34380,4482500000,18.6,2020,1
150,전라북도,전주시,35010,4511000000,29.0,2020,0
