,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,A_R
0,서울특별시,종로구,청운효자동,1101072,1111051500,2020,17.939024
1,서울특별시,종로구,사직동,1101053,1111053000,2020,19.200083
2,서울특별시,종로구,삼청동,1101054,1111054000,2020,24.69697
3,서울특별시,종로구,부암동,1101055,1111055000,2020,18.269808
4,서울특별시,종로구,평창동,1101056,1111056000,2020,18.394867
5,서울특별시,종로구,무악동,1101057,1111057000,2020,17.084017
6,서울특별시,종로구,교남동,1101058,1111058000,2020,15.624702
7,서울특별시,종로구,가회동,1101060,1111060000,2020,21.549133
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,2020,26.943218
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,2020,21.25143
10,서울특별시,종로구,이화동,1101064,1111064000,2020,18.59515
11,서울특별시,종로구,혜화동,1101073,1111065000,2020,16.143818
12,서울특별시,종로구,창신1동,1101067,1111067000,2020,24.546696
13,서울특별시,종로구,창신2동,1101068,1111068000,2020,21.195
14,서울특별시,종로구,창신3동,1101069,1111069000,2020,17.891697
15,서울특별시,종로구,숭인1동,1101070,1111070000,2020,19.89141
16,서울특별시,종로구,숭인2동,1101071,1111071000,2020,17.490456
17,서울특별시,중구,소공동,1102052,1114052000,2020,11.938134
18,서울특별시,중구,회현동,1102054,1114054000,2020,28.87461
19,서울특별시,중구,명동,1102055,1114055000,2020,25.566233
20,서울특별시,중구,필동,1102057,1114057000,2020,21.417948
21,서울특별시,중구,장충동,1102058,1114058000,2020,17.945969
22,서울특별시,중구,광희동,1102059,1114059000,2020,22.951761
23,서울특별시,중구,을지로동,1102060,1114060500,2020,28.193832
24,서울특별시,중구,신당동,1102069,1114061500,2020,18.408737
25,서울특별시,중구,다산동,1102070,1114062500,2020,18.633715
26,서울특별시,중구,약수동,1102071,1114063500,2020,22.086641
27,서울특별시,중구,청구동,1102072,1114064500,2020,19.187536
28,서울특별시,중구,신당5동,1102065,1114065000,2020,16.832907
29,서울특별시,중구,동화동,1102073,1114066500,2020,17.576952
30,서울특별시,중구,황학동,1102067,1114067000,2020,15.799095
31,서울특별시,중구,중림동,1102068,1114068000,2020,16.834694
32,서울특별시,용산구,후암동,1103051,1117051000,2020,17.308996
33,서울특별시,용산구,용산2가동,1103052,1117052000,2020,20.888489
34,서울특별시,용산구,남영동,1103053,1117053000,2020,21.29083
35,서울특별시,용산구,청파동,1103071,1117055500,2020,16.934793
36,서울특별시,용산구,원효로1동,1103072,1117056000,2020,12.287898
37,서울특별시,용산구,원효로2동,1103057,1117057000,2020,17.025772
38,서울특별시,용산구,효창동,1103058,1117058000,2020,14.267516
39,서울특별시,용산구,용문동,1103059,1117059000,2020,17.254807
40,서울특별시,용산구,한강로동,1103073,1117062500,2020,16.014479
41,서울특별시,용산구,이촌1동,1103063,1117063000,2020,16.102207
42,서울특별시,용산구,이촌2동,1103064,1117064000,2020,20.47668
43,서울특별시,용산구,이태원1동,1103065,1117065000,2020,22.938032
44,서울특별시,용산구,이태원2동,1103066,1117066000,2020,20.226171
45,서울특별시,용산구,한남동,1103074,1117068500,2020,17.652058
46,서울특별시,용산구,서빙고동,1103069,1117069000,2020,15.765527
47,서울특별시,용산구,보광동,1103070,1117070000,2020,19.689083
48,서울특별시,성동구,왕십리2동,1104052,1120052000,2020,15.212173
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,2020,13.625789
50,서울특별시,성동구,마장동,1104054,1120054000,2020,16.813694
51,서울특별시,성동구,사근동,1104055,1120055000,2020,12.487429
52,서울특별시,성동구,행당1동,1104056,1120056000,2020,15.045818
53,서울특별시,성동구,행당2동,1104057,1120057000,2020,15.625649
54,서울특별시,성동구,응봉동,1104058,1120058000,2020,16.023851
55,서울특별시,성동구,금호1가동,1104059,1120059000,2020,16.4789
56,서울특별시,성동구,금호2·3가동,1104072,1120061500,2020,16.57055
57,서울특별시,성동구,금호4가동,1104062,1120062000,2020,15.730413
58,서울특별시,성동구,옥수동,1104073,1120064500,2020,14.988186
59,서울특별시,성동구,성수1가1동,1104065,1120065000,2020,13.206064
60,서울특별시,성동구,성수1가2동,1104066,1120066000,2020,14.27297
61,서울특별시,성동구,성수2가1동,1104067,1120067000,2020,17.077581
62,서울특별시,성동구,성수2가3동,1104068,1120069000,2020,16.650265
63,서울특별시,성동구,송정동,1104069,1120072000,2020,16.102564
64,서울특별시,성동구,용답동,1104070,1120079000,2020,17.95894
65,서울특별시,광진구,화양동,1105053,1121571000,2020,10.287757
66,서울특별시,광진구,군자동,1105054,1121573000,2020,14.776718
67,서울특별시,광진구,중곡1동,1105055,1121574000,2020,15.710486
68,서울특별시,광진구,중곡2동,1105056,1121575000,2020,14.6698265
69,서울특별시,광진구,중곡3동,1105057,1121576000,2020,16.849487
70,서울특별시,광진구,중곡4동,1105058,1121577000,2020,16.987103
71,서울특별시,광진구,능동,1105059,1121578000,2020,13.910421
72,서울특별시,광진구,광장동,1105063,1121581000,2020,10.42325
73,서울특별시,광진구,자양1동,1105064,1121582000,2020,14.8486185
74,서울특별시,광진구,자양2동,1105065,1121583000,2020,15.252915
75,서울특별시,광진구,자양3동,1105066,1121584000,2020,14.076063
76,서울특별시,광진구,자양4동,1105067,1121584700,2020,20.291971
77,서울특별시,광진구,구의1동,1105060,1121585000,2020,13.938294
78,서울특별시,광진구,구의2동,1105061,1121586000,2020,15.797284
79,서울특별시,광진구,구의3동,1105062,1121587000,2020,13.459767
80,서울특별시,동대문구,용신동,1106081,1123053600,2020,18.169285
81,서울특별시,동대문구,제기동,1106082,1123054500,2020,22.877491
82,서울특별시,동대문구,전농1동,1106083,1123056000,2020,18.639915
83,서울특별시,동대문구,전농2동,1106084,1123057000,2020,18.930191
84,서울특별시,동대문구,답십리1동,1106091,1123060000,2020,14.237602
85,서울특별시,동대문구,답십리2동,1106086,1123061000,2020,18.754494
86,서울특별시,동대문구,장안1동,1106087,1123065000,2020,16.28778
87,서울특별시,동대문구,장안2동,1106088,1123066000,2020,15.372742
88,서울특별시,동대문구,청량리동,1106080,1123070500,2020,26.426775
89,서울특별시,동대문구,회기동,1106071,1123071000,2020,14.885897
90,서울특별시,동대문구,휘경1동,1106072,1123072000,2020,15.5821295
91,서울특별시,동대문구,휘경2동,1106073,1123073000,2020,16.092522
92,서울특별시,동대문구,이문1동,1106089,1123074000,2020,17.72474
93,서울특별시,동대문구,이문2동,1106090,1123075000,2020,18.77535
94,서울특별시,중랑구,면목2동,1107052,1126052000,2020,17.832294
95,서울특별시,중랑구,면목4동,1107054,1126054000,2020,19.412819
96,서울특별시,중랑구,면목5동,1107055,1126055000,2020,14.679782
97,서울특별시,중랑구,면목본동,1107071,1126056500,2020,17.295362
98,서울특별시,중랑구,면목7동,1107057,1126057000,2020,18.766193
99,서울특별시,중랑구,면목3·8동,1107072,1126057500,2020,19.174225
100,서울특별시,중랑구,상봉1동,1107059,1126058000,2020,14.618585
101,서울특별시,중랑구,상봉2동,1107060,1126059000,2020,14.834917
102,서울특별시,중랑구,중화1동,1107061,1126060000,2020,17.276503
103,서울특별시,중랑구,중화2동,1107062,1126061000,2020,19.422941
104,서울특별시,중랑구,묵1동,1107064,1126062000,2020,16.29142
105,서울특별시,중랑구,묵2동,1107065,1126063000,2020,17.783611
106,서울특별시,중랑구,망우본동,1107073,1126065500,2020,19.549143
107,서울특별시,중랑구,망우3동,1107068,1126066000,2020,19.244469
108,서울특별시,중랑구,신내1동,1107069,1126068000,2020,16.647766
109,서울특별시,중랑구,신내2동,1107070,1126069000,2020,18.336946
