,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,A_R
92,서울특별시,동대문구,이문1동,1106089,1123074000,2019,17.039003
93,서울특별시,동대문구,이문2동,1106090,1123075000,2019,17.64336
94,서울특별시,중랑구,면목2동,1107052,1126052000,2019,16.4824
95,서울특별시,중랑구,면목4동,1107054,1126054000,2019,17.813211
96,서울특별시,중랑구,면목5동,1107055,1126055000,2019,16.525774
97,서울특별시,중랑구,면목본동,1107071,1126056500,2019,16.196486
98,서울특별시,중랑구,면목7동,1107057,1126057000,2019,17.995611
99,서울특별시,중랑구,면목3·8동,1107072,1126057500,2019,17.788149
100,서울특별시,중랑구,상봉1동,1107059,1126058000,2019,13.566749
101,서울특별시,중랑구,상봉2동,1107060,1126059000,2019,14.356004
102,서울특별시,중랑구,중화1동,1107061,1126060000,2019,15.75316
103,서울특별시,중랑구,중화2동,1107062,1126061000,2019,17.814371
104,서울특별시,중랑구,묵1동,1107064,1126062000,2019,15.079808
105,서울특별시,중랑구,묵2동,1107065,1126063000,2019,16.471725
106,서울특별시,중랑구,망우본동,1107073,1126065500,2019,17.928429
107,서울특별시,중랑구,망우3동,1107068,1126066000,2019,17.582792
108,서울특별시,중랑구,신내1동,1107069,1126068000,2019,15.3744135
109,서울특별시,중랑구,신내2동,1107070,1126069000,2019,16.740007
110,서울특별시,성북구,성북동,1108081,1129052500,2019,17.57359
111,서울특별시,성북구,삼선동,1108082,1129055500,2019,15.720093
112,서울특별시,성북구,동선동,1108083,1129057500,2019,14.152349
113,서울특별시,성북구,돈암1동,1108058,1129058000,2019,17.296751
114,서울특별시,성북구,돈암2동,1108059,1129059000,2019,13.01749
115,서울특별시,성북구,안암동,1108060,1129060000,2019,13.962093
116,서울특별시,성북구,보문동,1108061,1129061000,2019,14.317303
117,서울특별시,성북구,정릉1동,1108062,1129062000,2019,15.506045
118,서울특별시,성북구,정릉2동,1108063,1129063000,2019,17.712004
119,서울특별시,성북구,정릉3동,1108064,1129064000,2019,20.236649
120,서울특별시,성북구,정릉4동,1108065,1129065000,2019,17.399872
121,서울특별시,성북구,길음1동,1108066,1129066000,2019,11.539818
122,서울특별시,성북구,길음2동,1108068,1129068500,2019,14.418295
123,서울특별시,성북구,종암동,1108084,1129070500,2019,15.697935
124,서울특별시,성북구,월곡1동,1108071,1129071500,2019,16.161024
125,서울특별시,성북구,월곡2동,1108072,1129072500,2019,17.06021
126,서울특별시,성북구,장위1동,1108076,1129076000,2019,17.534824
127,서울특별시,성북구,장위2동,1108077,1129077000,2019,22.050684
128,서울특별시,성북구,장위3동,1108078,1129078000,2019,13.463089
129,서울특별시,성북구,석관동,1108085,1129081000,2019,18.293507
130,서울특별시,강북구,삼양동,1109069,1130553400,2019,18.591438
131,서울특별시,강북구,미아동,1109070,1130553500,2019,18.968998
132,서울특별시,강북구,송중동,1109071,1130554500,2019,18.674915
133,서울특별시,강북구,송천동,1109072,1130555500,2019,20.61405
134,서울특별시,강북구,삼각산동,1109073,1130557500,2019,12.659078
135,서울특별시,강북구,번1동,1109060,1130559500,2019,17.78796
136,서울특별시,강북구,번2동,1109061,1130560300,2019,22.443567
137,서울특별시,강북구,번3동,1109062,1130560800,2019,24.46463
138,서울특별시,강북구,수유1동,1109063,1130561500,2019,19.454748
139,서울특별시,강북구,수유2동,1109064,1130562500,2019,20.492706
140,서울특별시,강북구,수유3동,1109065,1130563500,2019,18.324608
141,서울특별시,강북구,우이동,1109074,1130564500,2019,21.414787
142,서울특별시,강북구,인수동,1109075,1130566000,2019,20.660873
143,서울특별시,도봉구,창1동,1110059,1132051100,2019,16.202444
144,서울특별시,도봉구,창2동,1110060,1132051200,2019,15.7097
145,서울특별시,도봉구,창3동,1110061,1132051300,2019,18.803652
146,서울특별시,도봉구,창4동,1110062,1132051400,2019,13.987902
147,서울특별시,도봉구,창5동,1110063,1132051500,2019,15.640087
148,서울특별시,도봉구,도봉1동,1110064,1132052100,2019,24.307846
149,서울특별시,도봉구,도봉2동,1110065,1132052200,2019,21.159502
150,서울특별시,도봉구,쌍문1동,1110051,1132066000,2019,18.876629
151,서울특별시,도봉구,쌍문2동,1110052,1132067000,2019,18.335434
152,서울특별시,도봉구,쌍문3동,1110053,1132068000,2019,18.968746
153,서울특별시,도봉구,쌍문4동,1110054,1132068100,2019,13.862188
154,서울특별시,도봉구,방학1동,1110055,1132069000,2019,17.78838
155,서울특별시,도봉구,방학2동,1110056,1132070000,2019,19.47494
156,서울특별시,도봉구,방학3동,1110057,1132071000,2019,15.45483
157,서울특별시,노원구,월계1동,1111051,1135056000,2019,17.560345
158,서울특별시,노원구,월계2동,1111052,1135057000,2019,19.36625
159,서울특별시,노원구,월계3동,1111053,1135058000,2019,17.852592
160,서울특별시,노원구,공릉1동,1111079,1135059500,2019,15.510268
161,서울특별시,노원구,공릉2동,1111056,1135060000,2019,12.1059265
162,서울특별시,노원구,하계1동,1111058,1135061100,2019,14.232927
163,서울특별시,노원구,하계2동,1111059,1135061200,2019,12.860091
164,서울특별시,노원구,중계본동,1111060,1135061900,2019,9.858937
165,서울특별시,노원구,중계1동,1111061,1135062100,2019,7.959541
166,서울특별시,노원구,중계4동,1111064,1135062400,2019,17.879486
167,서울특별시,노원구,중계2·3동,1111078,1135062500,2019,18.880602
168,서울특별시,노원구,상계1동,1111065,1135063000,2019,16.130648
169,서울특별시,노원구,상계2동,1111066,1135064000,2019,14.792815
170,서울특별시,노원구,상계3·4동,1111076,1135066500,2019,21.998676
171,서울특별시,노원구,상계5동,1111069,1135067000,2019,18.890862
172,서울특별시,노원구,상계6·7동,1111077,1135069500,2019,13.304535
173,서울특별시,노원구,상계8동,1111072,1135070000,2019,11.090195
174,서울특별시,노원구,상계9동,1111073,1135071000,2019,14.414662
175,서울특별시,노원구,상계10동,1111074,1135072000,2019,12.914528
176,서울특별시,은평구,녹번동,1112051,1138051000,2019,17.305513
177,서울특별시,은평구,불광1동,1112052,1138052000,2019,18.30091
178,서울특별시,은평구,불광2동,1112072,1138053000,2019,19.152792
179,서울특별시,은평구,갈현1동,1112055,1138055100,2019,17.580698
180,서울특별시,은평구,갈현2동,1112056,1138055200,2019,15.750226
181,서울특별시,은평구,구산동,1112057,1138056000,2019,17.342865
182,서울특별시,은평구,대조동,1112058,1138057000,2019,17.55323
183,서울특별시,은평구,응암1동,1112059,1138058000,2019,15.987844
184,서울특별시,은평구,응암2동,1112060,1138059000,2019,13.240363
185,서울특별시,은평구,응암3동,1112073,1138060000,2019,21.058365
186,서울특별시,은평구,역촌동,1112074,1138062500,2019,16.544277
187,서울특별시,은평구,신사1동,1112065,1138063100,2019,16.41243
188,서울특별시,은평구,신사2동,1112066,1138063200,2019,16.868412
189,서울특별시,은평구,증산동,1112067,1138064000,2019,18.556187
190,서울특별시,은평구,수색동,1112068,1138065000,2019,19.45258
191,서울특별시,은평구,진관동,1112071,1138069000,2019,13.123041
192,서울특별시,서대문구,천연동,1113052,1141052000,2019,17.566465
193,서울특별시,서대문구,북아현동,1113074,1141055500,2019,13.174213
194,서울특별시,서대문구,충현동,1113073,1141056500,2019,17.717718
195,서울특별시,서대문구,신촌동,1113075,1141058500,2019,11.698658
196,서울특별시,서대문구,연희동,1113076,1141061500,2019,16.316288
197,서울특별시,서대문구,홍제1동,1113062,1141062000,2019,17.302944
198,서울특별시,서대문구,홍제3동,1113064,1141064000,2019,21.188059
199,서울특별시,서대문구,홍제2동,1113065,1141065500,2019,17.834394
200,서울특별시,서대문구,홍은1동,1113066,1141066000,2019,19.00603
201,서울특별시,서대문구,홍은2동,1113068,1141068500,2019,17.471256
202,서울특별시,서대문구,남가좌1동,1113069,1141069000,2019,12.962294
203,서울특별시,서대문구,남가좌2동,1113070,1141070000,2019,17.033562
204,서울특별시,서대문구,북가좌1동,1113071,1141071000,2019,15.013151
205,서울특별시,서대문구,북가좌2동,1113072,1141072000,2019,17.908842
206,서울특별시,마포구,아현동,1114078,1144055500,2019,11.7838745
207,서울특별시,마포구,공덕동,1114077,1144056500,2019,14.807924
208,서울특별시,마포구,도화동,1114075,1144058500,2019,16.068306
209,서울특별시,마포구,용강동,1114059,1144059000,2019,12.85584
210,서울특별시,마포구,대흥동,1114060,1144060000,2019,16.02875
211,서울특별시,마포구,염리동,1114061,1144061000,2019,14.245698
212,서울특별시,마포구,신수동,1114063,1144063000,2019,13.736993
213,서울특별시,마포구,서강동,1114076,1144065500,2019,12.159745
214,서울특별시,마포구,서교동,1114066,1144066000,2019,13.783537
215,서울특별시,마포구,합정동,1114068,1144068000,2019,13.9095125
216,서울특별시,마포구,망원1동,1114069,1144069000,2019,15.360618
217,서울특별시,마포구,망원2동,1114070,1144070000,2019,15.034929
218,서울특별시,마포구,연남동,1114071,1144071000,2019,14.934696
219,서울특별시,마포구,성산1동,1114072,1144072000,2019,14.48227
220,서울특별시,마포구,성산2동,1114073,1144073000,2019,14.26181
221,서울특별시,마포구,상암동,1114074,1144074000,2019,11.655547
222,서울특별시,양천구,목1동,1115051,1147051000,2019,9.070131
223,서울특별시,양천구,목2동,1115052,1147052000,2019,12.131704
224,서울특별시,양천구,목3동,1115053,1147053000,2019,13.268425
225,서울특별시,양천구,목4동,1115054,1147054000,2019,11.350257
226,서울특별시,양천구,목5동,1115071,1147055000,2019,9.25032
227,서울특별시,양천구,신월1동,1115057,1147056000,2019,17.578161
228,서울특별시,양천구,신월2동,1115058,1147057000,2019,16.273767
229,서울특별시,양천구,신월3동,1115059,1147058000,2019,17.068285
230,서울특별시,양천구,신월4동,1115060,1147059000,2019,15.534544
231,서울특별시,양천구,신월5동,1115061,1147060000,2019,14.369159
232,서울특별시,양천구,신월6동,1115062,1147061000,2019,16.841625
233,서울특별시,양천구,신월7동,1115063,1147061100,2019,19.123953
234,서울특별시,양천구,신정1동,1115064,1147062000,2019,11.759761
235,서울특별시,양천구,신정2동,1115065,1147063000,2019,11.941463
236,서울특별시,양천구,신정3동,1115066,1147064000,2019,13.47919
237,서울특별시,양천구,신정4동,1115072,1147065000,2019,15.864569
238,서울특별시,양천구,신정6동,1115069,1147067000,2019,9.755133
239,서울특별시,양천구,신정7동,1115070,1147068000,2019,14.790683
240,서울특별시,강서구,염창동,1116051,1150051000,2019,9.318102
241,서울특별시,강서구,등촌1동,1116052,1150052000,2019,11.31682
242,서울특별시,강서구,등촌2동,1116053,1150053000,2019,13.539749
243,서울특별시,강서구,등촌3동,1116054,1150053500,2019,18.690807
244,서울특별시,강서구,화곡1동,1116073,1150054000,2019,14.575066
245,서울특별시,강서구,화곡2동,1116057,1150055000,2019,14.152272
246,서울특별시,강서구,화곡3동,1116058,1150056000,2019,16.635605
247,서울특별시,강서구,화곡4동,1116059,1150057000,2019,16.240656
248,서울특별시,강서구,화곡본동,1116055,1150059000,2019,12.791321
249,서울특별시,강서구,화곡6동,1116061,1150059100,2019,14.421686
250,서울특별시,강서구,화곡8동,1116063,1150059300,2019,15.5408535
251,서울특별시,강서구,가양1동,1116064,1150060300,2019,8.096196
252,서울특별시,강서구,가양2동,1116065,1150060400,2019,24.17619
253,서울특별시,강서구,가양3동,1116066,1150060500,2019,20.900162
254,서울특별시,강서구,발산1동,1116067,1150061100,2019,11.416502
255,서울특별시,강서구,우장산동,1116074,1150061500,2019,11.958814
256,서울특별시,강서구,공항동,1116069,1150062000,2019,13.298262
257,서울특별시,강서구,방화1동,1116070,1150063000,2019,13.294824
258,서울특별시,강서구,방화2동,1116071,1150064000,2019,18.936583
259,서울특별시,강서구,방화3동,1116072,1150064100,2019,19.32047
260,서울특별시,구로구,신도림동,1117051,1153051000,2019,11.674672
261,서울특별시,구로구,구로1동,1117052,1153052000,2019,10.512927
262,서울특별시,구로구,구로2동,1117071,1153053000,2019,21.127483
263,서울특별시,구로구,구로3동,1117054,1153054000,2019,13.278419
264,서울특별시,구로구,구로4동,1117055,1153055000,2019,20.0373
265,서울특별시,구로구,구로5동,1117056,1153056000,2019,14.43043
266,서울특별시,구로구,가리봉동,1117070,1153059500,2019,20.352942
267,서울특별시,구로구,고척1동,1117061,1153072000,2019,16.953514
268,서울특별시,구로구,고척2동,1117062,1153073000,2019,16.573727
269,서울특별시,구로구,개봉1동,1117072,1153074000,2019,17.716993
270,서울특별시,구로구,개봉2동,1117064,1153075000,2019,17.802786
271,서울특별시,구로구,개봉3동,1117065,1153076000,2019,17.83721
272,서울특별시,구로구,오류1동,1117067,1153077000,2019,16.371937
273,서울특별시,구로구,오류2동,1117068,1153078000,2019,14.394501
274,서울특별시,구로구,수궁동,1117069,1153079000,2019,16.225584
275,서울특별시,금천구,가산동,1118051,1154551000,2019,11.114282
276,서울특별시,금천구,독산1동,1118052,1154561000,2019,12.686801
277,서울특별시,금천구,독산2동,1118053,1154562000,2019,16.45752
278,서울특별시,금천구,독산3동,1118054,1154563000,2019,16.748142
279,서울특별시,금천구,독산4동,1118055,1154564000,2019,16.854214
280,서울특별시,금천구,시흥1동,1118057,1154567000,2019,16.743847
281,서울특별시,금천구,시흥2동,1118058,1154568000,2019,16.636353
282,서울특별시,금천구,시흥3동,1118059,1154569000,2019,19.260563
283,서울특별시,금천구,시흥4동,1118060,1154570000,2019,17.514046
284,서울특별시,금천구,시흥5동,1118061,1154571000,2019,20.163649
285,서울특별시,영등포구,영등포본동,1119073,1156051500,2019,17.225513
286,서울특별시,영등포구,영등포동,1119074,1156053500,2019,12.612477
287,서울특별시,영등포구,여의동,1119054,1156054000,2019,17.135176
288,서울특별시,영등포구,당산1동,1119055,1156055000,2019,15.212731
289,서울특별시,영등포구,당산2동,1119056,1156056000,2019,11.927654
290,서울특별시,영등포구,도림동,1119075,1156058500,2019,17.101309
291,서울특별시,영등포구,문래동,1119076,1156060500,2019,13.78604
292,서울특별시,영등포구,양평1동,1119061,1156061000,2019,13.307263
293,서울특별시,영등포구,양평2동,1119062,1156062000,2019,10.660574
294,서울특별시,영등포구,신길1동,1119063,1156063000,2019,17.991396
295,서울특별시,영등포구,신길3동,1119065,1156065000,2019,16.879147
296,서울특별시,영등포구,신길4동,1119066,1156066000,2019,19.728193
297,서울특별시,영등포구,신길5동,1119067,1156067000,2019,20.044174
298,서울특별시,영등포구,신길6동,1119068,1156068000,2019,16.826025
299,서울특별시,영등포구,신길7동,1119069,1156069000,2019,12.049837
300,서울특별시,영등포구,대림1동,1119070,1156070000,2019,20.900272
301,서울특별시,영등포구,대림2동,1119071,1156071000,2019,21.12365
302,서울특별시,영등포구,대림3동,1119072,1156072000,2019,16.868942
303,서울특별시,동작구,노량진1동,1120072,1159051000,2019,16.8002
304,서울특별시,동작구,노량진2동,1120052,1159052000,2019,20.189299
305,서울특별시,동작구,상도1동,1120053,1159053000,2019,14.424147
306,서울특별시,동작구,상도2동,1120054,1159054000,2019,14.664727
307,서울특별시,동작구,상도3동,1120055,1159055000,2019,16.210098
308,서울특별시,동작구,상도4동,1120056,1159056000,2019,15.85788
309,서울특별시,동작구,흑석동,1120071,1159060500,2019,16.752602
310,서울특별시,동작구,사당1동,1120063,1159062000,2019,15.139323
311,서울특별시,동작구,사당2동,1120073,1159063000,2019,17.793926
312,서울특별시,동작구,사당3동,1120065,1159064000,2019,16.279522
313,서울특별시,동작구,사당4동,1120066,1159065000,2019,16.90227
314,서울특별시,동작구,사당5동,1120067,1159065100,2019,15.485893
315,서울특별시,동작구,대방동,1120068,1159066000,2019,13.530522
316,서울특별시,동작구,신대방1동,1120069,1159067000,2019,14.40529
317,서울특별시,동작구,신대방2동,1120070,1159068000,2019,14.143689
318,서울특별시,관악구,보라매동,1121052,1162052500,2019,16.685886
319,서울특별시,관악구,청림동,1121054,1162054500,2019,16.253717
320,서울특별시,관악구,성현동,1121079,1162056500,2019,16.639757
321,서울특별시,관악구,행운동,1121057,1162057500,2019,13.970737
322,서울특별시,관악구,낙성대동,1121058,1162058500,2019,11.383029
323,서울특별시,관악구,청룡동,1121080,1162059500,2019,12.341647
324,서울특별시,관악구,은천동,1121078,1162060500,2019,15.906666
325,서울특별시,관악구,중앙동,1121061,1162061500,2019,14.917842
326,서울특별시,관악구,인헌동,1121062,1162062500,2019,13.998426
327,서울특별시,관악구,남현동,1121063,1162063000,2019,13.839191
328,서울특별시,관악구,서원동,1121064,1162064500,2019,13.55523
329,서울특별시,관악구,신원동,1121065,1162065500,2019,16.526201
330,서울특별시,관악구,서림동,1121066,1162066500,2019,14.06836
331,서울특별시,관악구,신사동,1121068,1162068500,2019,14.403814
332,서울특별시,관악구,신림동,1121069,1162069500,2019,8.565489
333,서울특별시,관악구,난향동,1121071,1162071500,2019,16.368664
334,서울특별시,관악구,조원동,1121072,1162072500,2019,14.8887615
335,서울특별시,관악구,대학동,1121073,1162073500,2019,11.3975115
336,서울특별시,관악구,삼성동,1121082,1162074500,2019,22.071802
337,서울특별시,관악구,미성동,1121083,1162076500,2019,16.633923
338,서울특별시,관악구,난곡동,1121081,1162077500,2019,17.713257
339,서울특별시,서초구,서초1동,1122051,1165051000,2019,13.5265465
340,서울특별시,서초구,서초2동,1122052,1165052000,2019,11.281608
341,서울특별시,서초구,서초3동,1122053,1165053000,2019,14.322092
342,서울특별시,서초구,서초4동,1122054,1165053100,2019,12.273172
343,서울특별시,서초구,잠원동,1122055,1165054000,2019,11.00991
