,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,A_R
0,서울특별시,종로구,청운효자동,1101072,1111051500,2017,15.950873
1,서울특별시,종로구,사직동,1101053,1111053000,2017,17.985382
2,서울특별시,종로구,삼청동,1101054,1111054000,2017,21.499828
3,서울특별시,종로구,부암동,1101055,1111055000,2017,16.923525
4,서울특별시,종로구,평창동,1101056,1111056000,2017,15.941037
5,서울특별시,종로구,무악동,1101057,1111057000,2017,15.372597
6,서울특별시,종로구,교남동,1101058,1111058000,2017,13.701712
7,서울특별시,종로구,가회동,1101060,1111060000,2017,19.642464
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,2017,24.176548
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,2017,20.291208
10,서울특별시,종로구,이화동,1101064,1111064000,2017,15.747364
11,서울특별시,종로구,혜화동,1101073,1111065000,2017,14.665434
12,서울특별시,종로구,창신1동,1101067,1111067000,2017,20.235508
13,서울특별시,종로구,창신2동,1101068,1111068000,2017,17.590675
14,서울특별시,종로구,창신3동,1101069,1111069000,2017,14.870748
15,서울특별시,종로구,숭인1동,1101070,1111070000,2017,16.52452
16,서울특별시,종로구,숭인2동,1101071,1111071000,2017,16.353832
17,서울특별시,중구,소공동,1102052,1114052000,2017,11.424332
18,서울특별시,중구,회현동,1102054,1114054000,2017,24.592009
19,서울특별시,중구,명동,1102055,1114055000,2017,21.82189
20,서울특별시,중구,필동,1102057,1114057000,2017,19.028936
21,서울특별시,중구,장충동,1102058,1114058000,2017,15.683815
22,서울특별시,중구,광희동,1102059,1114059000,2017,21.735653
23,서울특별시,중구,을지로동,1102060,1114060500,2017,26.925447
24,서울특별시,중구,신당동,1102069,1114061500,2017,15.676567
25,서울특별시,중구,다산동,1102070,1114062500,2017,15.98204
26,서울특별시,중구,약수동,1102071,1114063500,2017,18.271822
27,서울특별시,중구,청구동,1102072,1114064500,2017,16.282839
28,서울특별시,중구,신당5동,1102065,1114065000,2017,15.545024
29,서울특별시,중구,동화동,1102073,1114066500,2017,14.503884
30,서울특별시,중구,황학동,1102067,1114067000,2017,14.338538
31,서울특별시,중구,중림동,1102068,1114068000,2017,15.214115
32,서울특별시,용산구,후암동,1103051,1117051000,2017,15.774541
33,서울특별시,용산구,용산2가동,1103052,1117052000,2017,17.903652
34,서울특별시,용산구,남영동,1103053,1117053000,2017,18.685728
35,서울특별시,용산구,청파동,1103071,1117055500,2017,15.488611
36,서울특별시,용산구,원효로1동,1103072,1117056000,2017,11.7019825
37,서울특별시,용산구,원효로2동,1103057,1117057000,2017,14.830537
38,서울특별시,용산구,효창동,1103058,1117058000,2017,14.767085
39,서울특별시,용산구,용문동,1103059,1117059000,2017,15.037593
40,서울특별시,용산구,한강로동,1103073,1117062500,2017,17.038649
41,서울특별시,용산구,이촌1동,1103063,1117063000,2017,14.771869
42,서울특별시,용산구,이촌2동,1103064,1117064000,2017,18.312172
43,서울특별시,용산구,이태원1동,1103065,1117065000,2017,20.176298
44,서울특별시,용산구,이태원2동,1103066,1117066000,2017,19.064217
45,서울특별시,용산구,한남동,1103074,1117068500,2017,16.02558
46,서울특별시,용산구,서빙고동,1103069,1117069000,2017,14.505333
47,서울특별시,용산구,보광동,1103070,1117070000,2017,17.012691
48,서울특별시,성동구,왕십리2동,1104052,1120052000,2017,13.082588
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,2017,11.756457
50,서울특별시,성동구,마장동,1104054,1120054000,2017,14.398363
51,서울특별시,성동구,사근동,1104055,1120055000,2017,12.533501
52,서울특별시,성동구,행당1동,1104056,1120056000,2017,14.728405
53,서울특별시,성동구,행당2동,1104057,1120057000,2017,13.025625
54,서울특별시,성동구,응봉동,1104058,1120058000,2017,13.8434725
