,SD,SGG,NAME_AD,CODE,CODE_AD,B_ALL,B_M,B_F,PM_ALL,PM_M,PM_F,CBR,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,74.0,36.0,38.0,12886.0,6021.0,6865.0,5.742666459723731,2019
1,서울특별시,종로구,사직동,1101053,1111053000,51.0,24.0,27.0,9402.0,4238.0,5164.0,5.424377791959158,2019
2,서울특별시,종로구,삼청동,1101054,1111054000,7.0,3.0,4.0,2782.0,1330.0,1452.0,2.516175413371675,2019
3,서울특별시,종로구,부암동,1101055,1111055000,47.0,26.0,21.0,10044.0,4787.0,5257.0,4.679410593389088,2019
4,서울특별시,종로구,평창동,1101056,1111056000,82.0,41.0,41.0,18674.0,8747.0,9927.0,4.391132055264003,2019
5,서울특별시,종로구,무악동,1101057,1111057000,45.0,23.0,22.0,8691.0,4063.0,4628.0,5.177770107007248,2019
6,서울특별시,종로구,교남동,1101058,1111058000,108.0,50.0,58.0,10630.0,4951.0,5679.0,10.159924741298212,2019
7,서울특별시,종로구,가회동,1101060,1111060000,13.0,5.0,8.0,4362.0,2025.0,2337.0,2.9802842732691426,2019
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,18.0,10.0,8.0,7326.0,4379.0,2947.0,2.457002457002457,2019
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,9.0,5.0,4.0,5206.0,2866.0,2340.0,1.7287744909719553,2019
10,서울특별시,종로구,이화동,1101064,1111064000,29.0,11.0,18.0,7958.0,3734.0,4224.0,3.6441316913797435,2019
11,서울특별시,종로구,혜화동,1101073,1111065000,58.0,23.0,35.0,16983.0,8189.0,8794.0,3.4151798857681213,2019
12,서울특별시,종로구,창신1동,1101067,1111067000,15.0,10.0,5.0,5291.0,2851.0,2440.0,2.835002835002835,2019
13,서울특별시,종로구,창신2동,1101068,1111068000,18.0,9.0,9.0,8655.0,4426.0,4229.0,2.0797227036395145,2019
14,서울특별시,종로구,창신3동,1101069,1111069000,58.0,30.0,28.0,7170.0,3539.0,3631.0,8.089260808926081,2019
15,서울특별시,종로구,숭인1동,1101070,1111070000,17.0,7.0,10.0,6264.0,3086.0,3178.0,2.713920817369093,2019
16,서울특별시,종로구,숭인2동,1101071,1111071000,32.0,20.0,12.0,9534.0,4881.0,4653.0,3.356408642752255,2019
17,서울특별시,중구,소공동,1102052,1114052000,18.0,13.0,5.0,2060.0,1009.0,1051.0,8.737864077669903,2019
18,서울특별시,중구,회현동,1102054,1114054000,27.0,14.0,13.0,5286.0,2877.0,2409.0,5.10783200908059,2019
19,서울특별시,중구,명동,1102055,1114055000,9.0,4.0,5.0,2818.0,1184.0,1634.0,3.19375443577005,2019
20,서울특별시,중구,필동,1102057,1114057000,15.0,8.0,7.0,4042.0,2112.0,1930.0,3.711034141514102,2019
21,서울특별시,중구,장충동,1102058,1114058000,12.0,10.0,2.0,4729.0,2409.0,2320.0,2.5375343624444913,2019
22,서울특별시,중구,광희동,1102059,1114059000,19.0,8.0,11.0,4946.0,2632.0,2314.0,3.8414880711686212,2019
23,서울특별시,중구,을지로동,1102060,1114060500,8.0,5.0,3.0,1799.0,1102.0,697.0,4.446914952751529,2019
24,서울특별시,중구,신당동,1102069,1114061500,35.0,16.0,19.0,7594.0,3808.0,3786.0,4.608901764550961,2019
25,서울특별시,중구,다산동,1102070,1114062500,80.0,42.0,38.0,14593.0,7111.0,7482.0,5.4820804495305975,2019
26,서울특별시,중구,약수동,1102071,1114063500,110.0,57.0,53.0,17562.0,8274.0,9288.0,6.263523516683748,2019
27,서울특별시,중구,청구동,1102072,1114064500,97.0,54.0,43.0,14467.0,6887.0,7580.0,6.70491463330338,2019
28,서울특별시,중구,신당5동,1102065,1114065000,75.0,46.0,29.0,10223.0,5037.0,5186.0,7.336398317519319,2019
