,SD,SGG,NAME_AD,CODE,CODE_AD,B_ALL,B_M,B_F,PM_ALL,PM_M,PM_F,CBR,YEAR
3167,경상남도,창원시 진해구,병암동,3811557,4812957000,46.0,24.0,22.0,8383.0,4175.0,4208.0,5.487295717523559,2017
3168,경상남도,창원시 진해구,석동,3811558,4812958000,93.0,46.0,47.0,18573.0,9425.0,9148.0,5.007268615732515,2017
3169,경상남도,창원시 진해구,이동,3811559,4812959000,60.0,26.0,34.0,10239.0,5313.0,4926.0,5.859947260474655,2017
3170,경상남도,창원시 진해구,자은동,3811560,4812960000,217.0,114.0,103.0,17694.0,8876.0,8818.0,12.264044308805245,2017
3171,경상남도,창원시 진해구,덕산동,3811561,4812961000,120.0,63.0,57.0,11518.0,5662.0,5856.0,10.418475429762111,2017
3172,경상남도,창원시 진해구,풍호동,3811562,4812962000,385.0,211.0,174.0,27088.0,13612.0,13476.0,14.21293561724749,2017
3173,경상남도,창원시 진해구,웅천동,3811563,4812963000,39.0,21.0,18.0,5017.0,2610.0,2407.0,7.77356986246761,2017
3174,경상남도,창원시 진해구,웅동1동,3811564,4812964000,52.0,27.0,25.0,7281.0,3700.0,3581.0,7.141876115918143,2017
3175,경상남도,창원시 진해구,웅동2동,3811565,4812965000,379.0,195.0,184.0,35198.0,18749.0,16449.0,10.767657253253025,2017
3176,경상남도,진주시,문산읍,3803011,4817025000,50.0,25.0,25.0,8784.0,4407.0,4377.0,5.692167577413478,2017
3177,경상남도,진주시,내동면,3803031,4817031000,34.0,16.0,18.0,4376.0,2170.0,2206.0,7.769652650822669,2017
3178,경상남도,진주시,정촌면,3803032,4817032000,9.0,4.0,5.0,3112.0,1611.0,1501.0,2.892030848329049,2017
3179,경상남도,진주시,금곡면,3803033,4817033000,9.0,4.0,5.0,2448.0,1178.0,1270.0,3.676470588235294,2017
3180,경상남도,진주시,진성면,3803034,4817035000,3.0,3.0,0.0,2140.0,1051.0,1089.0,1.4018691588785046,2017
3181,경상남도,진주시,일반성면,3803035,4817036000,12.0,5.0,7.0,2934.0,1424.0,1510.0,4.08997955010225,2017
3182,경상남도,진주시,이반성면,3803036,4817037000,1.0,1.0,0.0,1751.0,863.0,888.0,0.5711022272986864,2017
3183,경상남도,진주시,사봉면,3803037,4817038000,2.0,0.0,2.0,1638.0,797.0,841.0,1.221001221001221,2017
3184,경상남도,진주시,지수면,3803038,4817039000,3.0,2.0,1.0,1649.0,819.0,830.0,1.8192844147968465,2017
3185,경상남도,진주시,대곡면,3803039,4817040000,6.0,4.0,2.0,3625.0,1788.0,1837.0,1.6551724137931034,2017
3186,경상남도,진주시,금산면,3803040,4817041000,186.0,85.0,101.0,23170.0,11612.0,11558.0,8.027621924902892,2017
3187,경상남도,진주시,집현면,3803041,4817042000,27.0,11.0,16.0,5177.0,2595.0,2582.0,5.215375700212479,2017
3188,경상남도,진주시,미천면,3803042,4817043000,2.0,0.0,2.0,1752.0,863.0,889.0,1.141552511415525,2017
3189,경상남도,진주시,명석면,3803043,4817044000,20.0,8.0,12.0,4497.0,2240.0,2257.0,4.447409384033801,2017
3190,경상남도,진주시,대평면,3803044,4817045000,1.0,0.0,1.0,1205.0,593.0,612.0,0.8298755186721991,2017
3191,경상남도,진주시,수곡면,3803045,4817046000,6.0,4.0,2.0,2410.0,1173.0,1237.0,2.4896265560165975,2017
3192,경상남도,진주시,천전동,3803072,4817051500,160.0,94.0,66.0,31344.0,15615.0,15729.0,5.104645227156713,2017
3193,경상남도,진주시,성북동,3803073,4817055500,85.0,44.0,41.0,12031.0,5926.0,6105.0,7.065081871831103,2017
3194,경상남도,진주시,중앙동,3803074,4817056500,37.0,19.0,18.0,13027.0,6372.0,6655.0,2.84025485530053,2017
3195,경상남도,진주시,상봉동,3803075,4817059500,72.0,42.0,30.0,16236.0,7960.0,8276.0,4.434589800443459,2017
3196,경상남도,진주시,상대동,3803077,4817067300,139.0,60.0,79.0,22742.0,11255.0,11487.0,6.112039398469792,2017
3197,경상남도,진주시,하대동,3803078,4817067800,,,,28720.0,14374.0,14346.0,,2017
3198,경상남도,진주시,상평동,3803065,4817068000,81.0,37.0,44.0,13235.0,6730.0,6505.0,6.120136003022289,2017
3199,경상남도,진주시,초장동,3803066,4817069500,209.0,102.0,107.0,23167.0,11816.0,11351.0,9.021452928734838,2017
3200,경상남도,진주시,평거동,3803067,4817071000,173.0,95.0,78.0,29224.0,14090.0,15134.0,5.919791951820422,2017
3201,경상남도,진주시,신안동,3803068,4817071500,72.0,37.0,35.0,13322.0,6375.0,6947.0,5.404593904819096,2017
3202,경상남도,진주시,이현동,3803069,4817072000,56.0,28.0,28.0,13861.0,6902.0,6959.0,4.040112545992352,2017
3203,경상남도,진주시,판문동,3803070,4817073000,199.0,103.0,96.0,23123.0,11099.0,12024.0,8.606149721056957,2017
3204,경상남도,진주시,가호동,3803071,4817074000,183.0,109.0,74.0,21618.0,10836.0,10782.0,8.465167915625868,2017
3205,경상남도,진주시,충무공동,3803076,4817075000,284.0,150.0,134.0,14800.0,7467.0,7333.0,19.189189189189186,2017
3206,경상남도,통영시,산양읍,3805011,4822025000,10.0,7.0,3.0,5102.0,2703.0,2399.0,1.9600156801254411,2017
3207,경상남도,통영시,용남면,3805031,4822031000,114.0,54.0,60.0,13522.0,6832.0,6690.0,8.430705516935365,2017
3208,경상남도,통영시,도산면,3805032,4822033000,14.0,8.0,6.0,3171.0,1619.0,1552.0,4.415011037527594,2017
