,SD,SGG,NAME_AD,CODE,CODE_AD,B_ALL,B_M,B_F,PM_ALL,PM_M,PM_F,CBR,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,58.0,28.0,30.0,12604.0,5886.0,6718.0,4.601713741669311,2020
1,서울특별시,종로구,사직동,1101053,1111053000,28.0,13.0,15.0,9521.0,4278.0,5243.0,2.940867555928999,2020
2,서울특별시,종로구,삼청동,1101054,1111054000,9.0,5.0,4.0,2696.0,1300.0,1396.0,3.3382789317507418,2020
3,서울특별시,종로구,부암동,1101055,1111055000,23.0,15.0,8.0,10045.0,4762.0,5283.0,2.2896963663514187,2020
4,서울특별시,종로구,평창동,1101056,1111056000,77.0,36.0,41.0,18452.0,8651.0,9801.0,4.172989377845219,2020
5,서울특별시,종로구,무악동,1101057,1111057000,39.0,18.0,21.0,8645.0,4027.0,4618.0,4.511278195488722,2020
6,서울특별시,종로구,교남동,1101058,1111058000,76.0,46.0,30.0,10517.0,4887.0,5630.0,7.226395359893505,2020
7,서울특별시,종로구,가회동,1101060,1111060000,7.0,5.0,2.0,4340.0,2010.0,2330.0,1.6129032258064515,2020
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,14.0,7.0,7.0,7221.0,4329.0,2892.0,1.9387896413239163,2020
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,9.0,5.0,4.0,5307.0,2880.0,2427.0,1.695873374788016,2020
10,서울특별시,종로구,이화동,1101064,1111064000,25.0,11.0,14.0,7772.0,3665.0,4107.0,3.216675244467319,2020
11,서울특별시,종로구,혜화동,1101073,1111065000,40.0,21.0,19.0,16842.0,8145.0,8697.0,2.3750148438427736,2020
12,서울특별시,종로구,창신1동,1101067,1111067000,12.0,4.0,8.0,5181.0,2810.0,2371.0,2.3161551823972206,2020
13,서울특별시,종로구,창신2동,1101068,1111068000,28.0,17.0,11.0,8360.0,4303.0,4057.0,3.349282296650718,2020
14,서울특별시,종로구,창신3동,1101069,1111069000,36.0,17.0,19.0,6981.0,3415.0,3566.0,5.156854318865492,2020
15,서울특별시,종로구,숭인1동,1101070,1111070000,28.0,17.0,11.0,6138.0,2993.0,3145.0,4.561746497230368,2020
