,SD,SGG,NAME_AD,CODE,CODE_AD,B_ALL,B_M,B_F,PM_ALL,PM_M,PM_F,CBR,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,76.0,37.0,39.0,13120.0,6159.0,6961.0,5.7926829268292686,2018
1,서울특별시,종로구,사직동,1101053,1111053000,43.0,19.0,24.0,9491.0,4287.0,5204.0,4.530607944368349,2018
2,서울특별시,종로구,삼청동,1101054,1111054000,11.0,9.0,2.0,2854.0,1352.0,1502.0,3.8542396636299934,2018
3,서울특별시,종로구,부암동,1101055,1111055000,38.0,19.0,19.0,10177.0,4900.0,5277.0,3.733909796600177,2018
4,서울특별시,종로구,평창동,1101056,1111056000,92.0,53.0,39.0,18973.0,8926.0,10047.0,4.848995941601222,2018
5,서울특별시,종로구,무악동,1101057,1111057000,16.0,9.0,7.0,8230.0,3854.0,4376.0,1.9441069258809236,2018
6,서울특별시,종로구,교남동,1101058,1111058000,100.0,48.0,52.0,10592.0,4938.0,5654.0,9.441087613293051,2018
7,서울특별시,종로구,가회동,1101060,1111060000,21.0,12.0,9.0,4463.0,2072.0,2391.0,4.705355142280976,2018
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,20.0,10.0,10.0,7484.0,4433.0,3051.0,2.672367717797969,2018
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,12.0,8.0,4.0,5255.0,2880.0,2375.0,2.283539486203616,2018
10,서울특별시,종로구,이화동,1101064,1111064000,32.0,22.0,10.0,8156.0,3856.0,4300.0,3.92349190779794,2018
11,서울특별시,종로구,혜화동,1101073,1111065000,43.0,23.0,20.0,17057.0,8259.0,8798.0,2.5209591370111974,2018
12,서울특별시,종로구,창신1동,1101067,1111067000,20.0,8.0,12.0,5402.0,2931.0,2471.0,3.702332469455757,2018
13,서울특별시,종로구,창신2동,1101068,1111068000,42.0,23.0,19.0,8963.0,4578.0,4385.0,4.685931049871694,2018
14,서울특별시,종로구,창신3동,1101069,1111069000,62.0,35.0,27.0,7271.0,3576.0,3695.0,8.527025168477513,2018
15,서울특별시,종로구,숭인1동,1101070,1111070000,29.0,14.0,15.0,6454.0,3199.0,3255.0,4.493337465137898,2018
16,서울특별시,종로구,숭인2동,1101071,1111071000,30.0,18.0,12.0,9589.0,4911.0,4678.0,3.1285848367921574,2018
17,서울특별시,중구,소공동,1102052,1114052000,17.0,7.0,10.0,2031.0,1005.0,1026.0,8.370260955194485,2018
18,서울특별시,중구,회현동,1102054,1114054000,16.0,10.0,6.0,5316.0,2913.0,2403.0,3.0097817908201656,2018
19,서울특별시,중구,명동,1102055,1114055000,14.0,7.0,7.0,2845.0,1197.0,1648.0,4.92091388400703,2018
20,서울특별시,중구,필동,1102057,1114057000,20.0,13.0,7.0,3984.0,2061.0,1923.0,5.020080321285141,2018
21,서울특별시,중구,장충동,1102058,1114058000,25.0,13.0,12.0,4777.0,2429.0,2348.0,5.233410090014654,2018
22,서울특별시,중구,광희동,1102059,1114059000,7.0,2.0,5.0,4992.0,2651.0,2341.0,1.4022435897435896,2018
23,서울특별시,중구,을지로동,1102060,1114060500,5.0,3.0,2.0,1668.0,1050.0,618.0,2.997601918465228,2018
24,서울특별시,중구,신당동,1102069,1114061500,35.0,15.0,20.0,7824.0,3934.0,3890.0,4.473415132924336,2018
25,서울특별시,중구,다산동,1102070,1114062500,53.0,26.0,27.0,14753.0,7169.0,7584.0,3.5924896631193657,2018
26,서울특별시,중구,약수동,1102071,1114063500,117.0,53.0,64.0,17887.0,8467.0,9420.0,6.541063342092022,2018
27,서울특별시,중구,청구동,1102072,1114064500,100.0,43.0,57.0,14724.0,7024.0,7700.0,6.791632708503124,2018
28,서울특별시,중구,신당5동,1102065,1114065000,51.0,22.0,29.0,9333.0,4655.0,4678.0,5.46448087431694,2018
29,서울특별시,중구,동화동,1102073,1114066500,61.0,31.0,30.0,11074.0,5343.0,5731.0,5.5083980494852804,2018
30,서울특별시,중구,황학동,1102067,1114067000,93.0,45.0,48.0,12320.0,6076.0,6244.0,7.548701298701299,2018
31,서울특별시,중구,중림동,1102068,1114068000,133.0,66.0,67.0,12413.0,6217.0,6196.0,10.71457343108032,2018
32,서울특별시,용산구,후암동,1103051,1117051000,83.0,39.0,44.0,18306.0,8915.0,9391.0,4.534032557631378,2018
33,서울특별시,용산구,용산2가동,1103052,1117052000,59.0,25.0,34.0,10867.0,5225.0,5642.0,5.429281310389252,2018
34,서울특별시,용산구,남영동,1103053,1117053000,34.0,18.0,16.0,7854.0,4844.0,3010.0,4.329004329004329,2018
35,서울특별시,용산구,청파동,1103071,1117055500,90.0,48.0,42.0,20321.0,9757.0,10564.0,4.4289158998080795,2018
36,서울특별시,용산구,원효로1동,1103072,1117056000,150.0,89.0,61.0,15203.0,7412.0,7791.0,9.866473722291653,2018
37,서울특별시,용산구,원효로2동,1103057,1117057000,98.0,51.0,47.0,15020.0,7066.0,7954.0,6.524633821571238,2018
38,서울특별시,용산구,효창동,1103058,1117058000,66.0,26.0,40.0,8808.0,4184.0,4624.0,7.493188010899182,2018
39,서울특별시,용산구,용문동,1103059,1117059000,86.0,43.0,43.0,12725.0,6139.0,6586.0,6.758349705304519,2018
40,서울특별시,용산구,한강로동,1103073,1117062500,104.0,54.0,50.0,17475.0,8485.0,8990.0,5.951359084406295,2018
41,서울특별시,용산구,이촌1동,1103063,1117063000,192.0,113.0,79.0,28033.0,13061.0,14972.0,6.849070738058717,2018
42,서울특별시,용산구,이촌2동,1103064,1117064000,95.0,48.0,47.0,9115.0,4301.0,4814.0,10.422380691168405,2018
43,서울특별시,용산구,이태원1동,1103065,1117065000,39.0,22.0,17.0,7056.0,3353.0,3703.0,5.5272108843537415,2018
44,서울특별시,용산구,이태원2동,1103066,1117066000,48.0,28.0,20.0,9500.0,4405.0,5095.0,5.052631578947368,2018
45,서울특별시,용산구,한남동,1103074,1117068500,121.0,70.0,51.0,20563.0,9920.0,10643.0,5.88435539561348,2018
46,서울특별시,용산구,서빙고동,1103069,1117069000,64.0,31.0,33.0,13584.0,6541.0,7043.0,4.7114252061248525,2018
47,서울특별시,용산구,보광동,1103070,1117070000,57.0,32.0,25.0,15115.0,7396.0,7719.0,3.771088322858088,2018
48,서울특별시,성동구,왕십리2동,1104052,1120052000,160.0,83.0,77.0,17870.0,8748.0,9122.0,8.953553441522105,2018
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,253.0,125.0,128.0,27335.0,13085.0,14250.0,9.25553319919517,2018
50,서울특별시,성동구,마장동,1104054,1120054000,145.0,79.0,66.0,23601.0,11661.0,11940.0,6.143807465785348,2018
51,서울특별시,성동구,사근동,1104055,1120055000,43.0,23.0,20.0,11429.0,5888.0,5541.0,3.7623589115408174,2018
52,서울특별시,성동구,행당1동,1104056,1120056000,83.0,42.0,41.0,14907.0,7299.0,7608.0,5.567854028308848,2018
53,서울특별시,성동구,행당2동,1104057,1120057000,208.0,110.0,98.0,25111.0,11867.0,13244.0,8.283222492134922,2018
54,서울특별시,성동구,응봉동,1104058,1120058000,104.0,61.0,43.0,16411.0,7792.0,8619.0,6.337212845042959,2018
55,서울특별시,성동구,금호1가동,1104059,1120059000,129.0,70.0,59.0,15901.0,7654.0,8247.0,8.1126973146343,2018
56,서울특별시,성동구,금호2·3가동,1104072,1120061500,235.0,116.0,119.0,24308.0,11666.0,12642.0,9.667599144314629,2018
57,서울특별시,성동구,금호4가동,1104062,1120062000,157.0,91.0,66.0,15263.0,7315.0,7948.0,10.28631330668938,2018
58,서울특별시,성동구,옥수동,1104073,1120064500,300.0,151.0,149.0,27319.0,12827.0,14492.0,10.9813682784875,2018
59,서울특별시,성동구,성수1가1동,1104065,1120065000,155.0,91.0,64.0,17354.0,8708.0,8646.0,8.931658407283624,2018
60,서울특별시,성동구,성수1가2동,1104066,1120066000,103.0,46.0,57.0,15552.0,7777.0,7775.0,6.622942386831276,2018
61,서울특별시,성동구,성수2가1동,1104067,1120067000,98.0,46.0,52.0,17783.0,9247.0,8536.0,5.51088117865377,2018
62,서울특별시,성동구,성수2가3동,1104068,1120069000,80.0,51.0,29.0,11617.0,5987.0,5630.0,6.886459499010071,2018
63,서울특별시,성동구,송정동,1104069,1120072000,55.0,25.0,30.0,11341.0,6038.0,5303.0,4.849660523763337,2018
64,서울특별시,성동구,용답동,1104070,1120079000,66.0,34.0,32.0,15417.0,8152.0,7265.0,4.2809885191671535,2018
65,서울특별시,광진구,화양동,1105053,1121571000,59.0,37.0,22.0,21403.0,10262.0,11141.0,2.756622903331309,2018
66,서울특별시,광진구,군자동,1105054,1121573000,116.0,66.0,50.0,20084.0,9936.0,10148.0,5.775741884086835,2018
67,서울특별시,광진구,중곡1동,1105055,1121574000,139.0,69.0,70.0,16001.0,7889.0,8112.0,8.686957065183426,2018
68,서울특별시,광진구,중곡2동,1105056,1121575000,169.0,89.0,80.0,22436.0,10882.0,11554.0,7.532536994116598,2018
69,서울특별시,광진구,중곡3동,1105057,1121576000,108.0,58.0,50.0,17651.0,8761.0,8890.0,6.118633505183842,2018
70,서울특별시,광진구,중곡4동,1105058,1121577000,221.0,112.0,109.0,31121.0,15373.0,15748.0,7.101314225121301,2018
71,서울특별시,광진구,능동,1105059,1121578000,96.0,38.0,58.0,11561.0,5368.0,6193.0,8.303779949831329,2018
