,SD,SGG,NAME_AD,CODE,CODE_AD,P_ALL,H,P_M,P_F,AREA_KM,P_DEN,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,12734.0,5356.0,5939.0,6795.0,2.566515969423985,4961.590012182138,2019
1,서울특별시,종로구,사직동,1101053,1111053000,9535.0,4621.0,4297.0,5238.0,1.157671171480633,8236.362997452004,2019
2,서울특별시,종로구,삼청동,1101054,1111054000,2758.0,1396.0,1326.0,1432.0,1.478147696204363,1865.8487288395365,2019
3,서울특별시,종로구,부암동,1101055,1111055000,10100.0,4298.0,4826.0,5274.0,2.2730447793810984,4443.379246910399,2019
4,서울특별시,종로구,평창동,1101056,1111056000,18659.0,7520.0,8739.0,9920.0,8.940655129134718,2086.9835297859017,2019
5,서울특별시,종로구,무악동,1101057,1111057000,8695.0,3187.0,4060.0,4635.0,0.3692456538342084,23548.009054980135,2019
6,서울특별시,종로구,교남동,1101058,1111058000,10562.0,4583.0,4915.0,5647.0,0.34666729642207567,30467.25234543184,2019
7,서울특별시,종로구,가회동,1101060,1111060000,4383.0,2068.0,2026.0,2357.0,0.5395506139459115,8123.426953304113,2019
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,7227.0,5210.0,4300.0,2927.0,2.4153585051862145,2992.102408185913,2019
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,5343.0,3368.0,2910.0,2433.0,0.6027127693301274,8864.91919847387,2019
10,서울특별시,종로구,이화동,1101064,1111064000,7847.0,4441.0,3698.0,4149.0,0.7818061156280097,10037.015371383552,2019
11,서울특별시,종로구,혜화동,1101073,1111065000,16925.0,9238.0,8153.0,8772.0,1.1315698866668955,14957.096507625849,2019
12,서울특별시,종로구,창신1동,1101067,1111067000,5243.0,2936.0,2820.0,2423.0,0.305106894331811,17184.14135308956,2019
13,서울특별시,종로구,창신2동,1101068,1111068000,8550.0,4121.0,4366.0,4184.0,0.2571290757261626,33251.7821092531,2019
14,서울특별시,종로구,창신3동,1101069,1111069000,7106.0,2903.0,3506.0,3600.0,0.21667192574162036,32796.12702789124,2019
15,서울특별시,종로구,숭인1동,1101070,1111070000,6189.0,2962.0,3044.0,3145.0,0.23921524341558728,25872.097077224655,2019
16,서울특별시,종로구,숭인2동,1101071,1111071000,9434.0,5739.0,4821.0,4613.0,0.3516402270809571,26828.55735338846,2019
17,서울특별시,중구,소공동,1102052,1114052000,2050.0,1104.0,1000.0,1050.0,0.9430900289763313,2173.7055180459856,2019
18,서울특별시,중구,회현동,1102054,1114054000,5245.0,3142.0,2837.0,2408.0,0.8971557196736466,5846.253760615766,2019
19,서울특별시,중구,명동,1102055,1114055000,2936.0,1532.0,1235.0,1701.0,0.9690031437759474,3029.9179304611844,2019
