,SD,SGG,NAME_AD,CODE,CODE_AD,P_ALL,H,P_M,P_F,AREA_KM,P_DEN,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,12431.0,5357.0,5779.0,6652.0,2.566515787090755,4843.531476613677,2020
1,서울특별시,종로구,사직동,1101053,1111053000,9526.0,4758.0,4264.0,5262.0,1.1576712996185297,8228.58785834888,2020
2,서울특별시,종로구,삼청동,1101054,1111054000,2640.0,1342.0,1272.0,1368.0,1.4781479136125741,1786.018825103825,2020
3,서울특별시,종로구,부암동,1101055,1111055000,10022.0,4392.0,4772.0,5250.0,2.273044409694315,4409.064757933077,2020
4,서울특별시,종로구,평창동,1101056,1111056000,18391.0,7522.0,8550.0,9841.0,8.940655328081188,2057.008051997796,2020
5,서울특별시,종로구,무악동,1101057,1111057000,8546.0,3192.0,3979.0,4567.0,0.36924548226771187,23144.494409288247,2020
6,서울특별시,종로구,교남동,1101058,1111058000,10477.0,4602.0,4848.0,5629.0,0.34666713479954475,30222.074573230526,2020
7,서울특별시,종로구,가회동,1101060,1111060000,4325.0,2077.0,2000.0,2325.0,0.5395824548218993,8015.457065644507,2020
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,7256.0,5283.0,4352.0,2904.0,2.4153267300859818,3004.1484282922247,2020
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,5242.0,3415.0,2838.0,2404.0,0.6027128344990682,8697.342581657109,2020
10,서울특별시,종로구,이화동,1101064,1111064000,7588.0,4430.0,3567.0,4021.0,0.7818062194503859,9705.729899839384,2020
11,서울특별시,종로구,혜화동,1101073,1111065000,16799.0,9374.0,8089.0,8710.0,1.1315701264352025,14845.743633160473,2020
12,서울특별시,종로구,창신1동,1101067,1111067000,5129.0,2961.0,2775.0,2354.0,0.3051069366683864,16810.49947931728,2020
13,서울특별시,종로구,창신2동,1101068,1111068000,8318.0,4185.0,4283.0,4035.0,0.2571291057345318,32349.50775501769,2020
14,서울특별시,종로구,창신3동,1101069,1111069000,6925.0,2913.0,3398.0,3527.0,0.2166718870709595,31960.768393234513,2020
15,서울특별시,종로구,숭인1동,1101070,1111070000,6078.0,3035.0,2960.0,3118.0,0.2392153186540622,25408.071833349488,2020
16,서울특별시,종로구,숭인2동,1101071,1111071000,9691.0,6165.0,4909.0,4782.0,0.35164031176247695,27559.411352547075,2020
17,서울특별시,중구,소공동,1102052,1114052000,2069.0,1130.0,1027.0,1042.0,0.9430900451446345,2193.852019382405,2020
18,서울특별시,중구,회현동,1102054,1114054000,5136.0,3025.0,2720.0,2416.0,0.8971561070005387,5724.756215694931,2020
19,서울특별시,중구,명동,1102055,1114055000,2914.0,1552.0,1242.0,1672.0,0.9688762596058029,3007.608010940004,2020
20,서울특별시,중구,필동,1102057,1114057000,4034.0,2406.0,2083.0,1951.0,1.4635867173388937,2756.242559603612,2020
21,서울특별시,중구,장충동,1102058,1114058000,4664.0,2755.0,2359.0,2305.0,1.017158942107946,4585.320746759981,2020
22,서울특별시,중구,광희동,1102059,1114059000,5224.0,3295.0,2704.0,2520.0,0.7366488912996212,7091.573830761681,2020
