,SD,SGG,NAME_AD,CODE,CODE_AD,P_ALL,H,P_M,P_F,AREA_KM,P_DEN,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,13272.0,5452.0,6254.0,7018.0,2.566515969423985,5171.212709414272,2017
1,서울특별시,종로구,사직동,1101053,1111053000,9441.0,4414.0,4318.0,5123.0,1.157671171480633,8155.165501724634,2017
2,서울특별시,종로구,삼청동,1101054,1111054000,2907.0,1414.0,1360.0,1547.0,1.478147696204363,1966.6505637188297,2017
3,서울특별시,종로구,부암동,1101055,1111055000,10317.0,4325.0,4984.0,5333.0,2.2730447793810984,4538.845909938078,2017
4,서울특별시,종로구,평창동,1101056,1111056000,18995.0,7510.0,8951.0,10044.0,8.941002195512826,2124.4821983751353,2017
5,서울특별시,종로구,무악동,1101057,1111057000,8320.0,3024.0,3897.0,4423.0,0.3692456538342084,22532.42499567967,2017
6,서울특별시,종로구,교남동,1101058,1111058000,10225.0,4379.0,4780.0,5445.0,0.34666729642205074,29495.13872676226,2017
7,서울특별시,종로구,가회동,1101060,1111060000,4531.0,2085.0,2127.0,2404.0,0.5395506139459115,8397.729300803318,2017
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,7590.0,5378.0,4502.0,3088.0,2.4153585051862145,3142.3906569989044,2017
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,5357.0,3174.0,2943.0,2414.0,0.6027127693301274,8888.147510055123,2017
10,서울특별시,종로구,이화동,1101064,1111064000,8249.0,4462.0,3878.0,4371.0,0.7818061156280097,10551.209353707522,2017
11,서울특별시,종로구,혜화동,1101073,1111065000,17306.0,9153.0,8444.0,8862.0,1.1315698866668955,15293.796878048623,2017
12,서울특별시,종로구,창신1동,1101067,1111067000,5520.0,3050.0,2989.0,2531.0,0.305106894331811,18092.019887288647,2017
13,서울특별시,종로구,창신2동,1101068,1111068000,9181.0,4280.0,4671.0,4510.0,0.2571290757261626,35705.80251988921,2017
14,서울특별시,종로구,창신3동,1101069,1111069000,7350.0,2860.0,3633.0,3717.0,0.2166719257416234,33922.253539965845,2017
15,서울특별시,종로구,숭인1동,1101070,1111070000,6566.0,3014.0,3272.0,3294.0,0.23921524341558728,27448.083601398786,2017
16,서울특별시,종로구,숭인2동,1101071,1111071000,9643.0,5620.0,4964.0,4679.0,0.3516402270809571,27422.9148355655,2017
17,서울특별시,중구,소공동,1102052,1114052000,2022.0,1048.0,1007.0,1015.0,0.9431313253439046,2143.9220028692134,2017
18,서울특별시,중구,회현동,1102054,1114054000,5331.0,3281.0,2930.0,2401.0,0.8971557196736466,5942.11225888325,2017
19,서울특별시,중구,명동,1102055,1114055000,2942.0,1435.0,1244.0,1698.0,0.9689618497898735,3036.2392499126713,2017
20,서울특별시,중구,필동,1102057,1114057000,4078.0,2249.0,2113.0,1965.0,1.4633797019008707,2786.699852883598,2017
21,서울특별시,중구,장충동,1102058,1114058000,4782.0,2628.0,2455.0,2327.0,1.0171590300200792,4701.329741825721,2017
22,서울특별시,중구,광희동,1102059,1114059000,5001.0,2920.0,2657.0,2344.0,0.7368562050476144,6786.941557582248,2017
23,서울특별시,중구,을지로동,1102060,1114060500,1623.0,1170.0,1030.0,593.0,0.611064543694133,2656.0205738469244,2017
24,서울특별시,중구,신당동,1102069,1114061500,7878.0,4368.0,3984.0,3894.0,0.5345378265242083,14737.965414395641,2017
25,서울특별시,중구,다산동,1102070,1114062500,14923.0,6863.0,7242.0,7681.0,0.5235760368899367,28502.06836936854,2017
26,서울특별시,중구,약수동,1102071,1114063500,18181.0,7819.0,8676.0,9505.0,0.48600260465075823,37409.26453072176,2017
27,서울특별시,중구,청구동,1102072,1114064500,14807.0,6449.0,7087.0,7720.0,0.34231237428918976,43255.81285440433,2017
28,서울특별시,중구,신당5동,1102065,1114065000,9495.0,4467.0,4742.0,4753.0,0.3194644540790642,29721.616532805507,2017
29,서울특별시,중구,동화동,1102073,1114066500,11197.0,4213.0,5409.0,5788.0,0.3267983435015982,34262.719572032474,2017
30,서울특별시,중구,황학동,1102067,1114067000,12170.0,6205.0,6009.0,6161.0,0.328391116365898,37059.467791570874,2017
