,SD,SGG,NAME_AD,CODE,CODE_AD,P_ALL,H,P_M,P_F,AREA_KM,P_DEN,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,13045.0,5413.0,6122.0,6923.0,2.566515969423985,5082.765957979895,2018
1,서울특별시,종로구,사직동,1101053,1111053000,9546.0,4528.0,4295.0,5251.0,1.1576711714806198,8245.864832058493,2018
2,서울특별시,종로구,삼청동,1101054,1111054000,2836.0,1408.0,1333.0,1503.0,1.4781476962043518,1918.6174746152883,2018
3,서울특별시,종로구,부암동,1101055,1111055000,10149.0,4315.0,4879.0,5270.0,2.2730447793810984,4464.936235336005,2018
4,서울특별시,종로구,평창동,1101056,1111056000,18951.0,7592.0,8895.0,10056.0,8.941002196385895,2119.5610496170457,2018
5,서울특별시,종로구,무악동,1101057,1111057000,8215.0,3002.0,3849.0,4366.0,0.3692456538342084,22248.06145907554,2018
6,서울특별시,종로구,교남동,1101058,1111058000,10701.0,4576.0,4993.0,5708.0,0.3466672964221027,30868.213155504705,2018
7,서울특별시,종로구,가회동,1101060,1111060000,4429.0,2058.0,2062.0,2367.0,0.5395506139459048,8208.683088337753,2018
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,7420.0,5291.0,4407.0,3013.0,2.4153585051862243,3072.007730557546,2018
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,5225.0,3139.0,2862.0,2363.0,0.6027127693301365,8669.137715146036,2018
10,서울특별시,종로구,이화동,1101064,1111064000,8083.0,4485.0,3818.0,4265.0,0.7818061156280082,10338.880495334957,2018
11,서울특별시,종로구,혜화동,1101073,1111065000,17083.0,9164.0,8291.0,8792.0,1.1315698866668955,15096.725532630568,2018
12,서울특별시,종로구,창신1동,1101067,1111067000,5364.0,2996.0,2913.0,2451.0,0.305106894331811,17580.723673082663,2018
13,서울특별시,종로구,창신2동,1101068,1111068000,8780.0,4167.0,4485.0,4295.0,0.2571290757261626,34146.274493478624,2018
14,서울특별시,종로구,창신3동,1101069,1111069000,7254.0,2889.0,3571.0,3683.0,0.2166719257416199,33479.187371281114,2018
15,서울특별시,종로구,숭인1동,1101070,1111070000,6376.0,2996.0,3155.0,3221.0,0.23921524341558728,26653.819835899885,2018
16,서울특별시,종로구,숭인2동,1101071,1111071000,9608.0,5716.0,4895.0,4713.0,0.3516402270809585,27323.38128591852,2018
17,서울특별시,중구,소공동,1102052,1114052000,2033.0,1072.0,1001.0,1032.0,0.9431313253439048,2155.5852778600943,2018
18,서울특별시,중구,회현동,1102054,1114054000,5337.0,3273.0,2908.0,2429.0,0.8971557196736466,5948.800061087958,2018
19,서울특별시,중구,명동,1102055,1114055000,2839.0,1400.0,1202.0,1637.0,0.9689618497898744,2929.9399151944476,2018
20,서울특별시,중구,필동,1102057,1114057000,4003.0,2291.0,2105.0,1898.0,1.463379701900878,2735.448629498035,2018
21,서울특별시,중구,장충동,1102058,1114058000,4722.0,2662.0,2408.0,2314.0,1.0171590300200801,4642.341915704943,2018
22,서울특별시,중구,광희동,1102059,1114059000,4929.0,2906.0,2610.0,2319.0,0.7368562050476144,6689.229141636252,2018
23,서울특별시,중구,을지로동,1102060,1114060500,1716.0,1269.0,1051.0,665.0,0.611064543694133,2808.2139893538642,2018
24,서울특별시,중구,신당동,1102069,1114061500,7716.0,4430.0,3865.0,3851.0,0.5345378265242273,14434.899865127283,2018
25,서울특별시,중구,다산동,1102070,1114062500,14600.0,6922.0,7097.0,7503.0,0.5235760368899224,27885.15701888307,2018
26,서울특별시,중구,약수동,1102071,1114063500,17756.0,7768.0,8389.0,9367.0,0.48600260465075823,36534.78362067519,2018
27,서울특별시,중구,청구동,1102072,1114064500,14652.0,6448.0,6949.0,7703.0,0.3423123742891956,42803.010058939784,2018
28,서울특별시,중구,신당5동,1102065,1114065000,9358.0,4500.0,4648.0,4710.0,0.3194644540790642,29292.77382980452,2018
29,서울특별시,중구,동화동,1102073,1114066500,11043.0,4228.0,5317.0,5726.0,0.3267983435015982,33791.480953287006,2018
30,서울특별시,중구,황학동,1102067,1114067000,12373.0,6525.0,6061.0,6312.0,0.32839111636590795,37677.63311299035,2018
31,서울특별시,중구,중림동,1102068,1114068000,12648.0,5808.0,6336.0,6312.0,0.48358856597273675,26154.464538586828,2018
32,서울특별시,용산구,후암동,1103051,1117051000,18144.0,8517.0,8812.0,9332.0,0.8651808036419979,20971.33908152195,2018
33,서울특별시,용산구,용산2가동,1103052,1117052000,10689.0,5512.0,5176.0,5513.0,1.965443083759803,5438.468347581163,2018
34,서울특별시,용산구,남영동,1103053,1117053000,7821.0,5431.0,4807.0,3014.0,1.1769088602065856,6645.3743908658835,2018
35,서울특별시,용산구,청파동,1103071,1117055500,20105.0,10562.0,9595.0,10510.0,0.8855684114471525,22702.932647682628,2018
36,서울특별시,용산구,원효로1동,1103072,1117056000,15421.0,7391.0,7459.0,7962.0,0.5885779654877646,26200.437162509734,2018
37,서울특별시,용산구,원효로2동,1103057,1117057000,14912.0,6034.0,7008.0,7904.0,0.7084488835321986,21048.801609583254,2018
38,서울특별시,용산구,효창동,1103058,1117058000,8944.0,3728.0,4265.0,4679.0,0.4458662787590772,20059.82606465036,2018
39,서울특별시,용산구,용문동,1103059,1117059000,12625.0,5371.0,6078.0,6547.0,0.2773250571559102,45524.19507084898,2018
40,서울특별시,용산구,한강로동,1103073,1117062500,17667.0,9518.0,8576.0,9091.0,2.8676759721063543,6160.737883863254,2018
41,서울특별시,용산구,이촌1동,1103063,1117063000,28302.0,10253.0,13203.0,15099.0,2.87062219593455,9859.186639078465,2018
42,서울특별시,용산구,이촌2동,1103064,1117064000,8990.0,3862.0,4242.0,4748.0,1.204647713750803,7462.762679396657,2018
43,서울특별시,용산구,이태원1동,1103065,1117065000,7042.0,3842.0,3329.0,3713.0,0.5824610122073683,12090.079597452783,2018
44,서울특별시,용산구,이태원2동,1103066,1117066000,9463.0,4947.0,4388.0,5075.0,0.8735874872150589,10832.343798979357,2018
45,서울특별시,용산구,한남동,1103074,1117068500,20514.0,10977.0,9928.0,10586.0,3.0296150614197765,6771.157254013145,2018
46,서울특별시,용산구,서빙고동,1103069,1117069000,13502.0,5309.0,6504.0,6998.0,2.819662887674641,4788.515697752442,2018
47,서울특별시,용산구,보광동,1103070,1117070000,14858.0,7720.0,7270.0,7588.0,0.7147278613407131,20788.331900380672,2018
48,서울특별시,성동구,왕십리2동,1104052,1120052000,17748.0,7688.0,8653.0,9095.0,0.37214351750654356,47691.278136231216,2018
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,27345.0,11654.0,13077.0,14268.0,0.7097472943793125,38527.7974520688,2018
50,서울특별시,성동구,마장동,1104054,1120054000,23446.0,10687.0,11570.0,11876.0,1.0344891641686311,22664.326328485437,2018
