,SGG_cd,SD,SGG,P_ALL,AREA_KM,P_DEN
214,3809,경상남도,거제시,250214.0,408.98,611.8
215,3810,경상남도,양산시,338535.0,486.47,695.9
216,3811,경상남도,창원시 의창구,1057032.0,751.81,1405.97
217,3831,경상남도,의령군,27849.0,481.41,57.85
218,3832,경상남도,함안군,68207.0,415.51,164.15
219,3833,경상남도,창녕군,64101.0,529.85,120.98
220,3834,경상남도,고성군,54060.0,519.87,103.99
221,3835,경상남도,남해군,44642.0,362.62,123.11
222,3836,경상남도,하동군,48831.0,677.12,72.12
223,3837,경상남도,산청군,36340.0,791.37,45.92
224,3838,경상남도,함양군,40175.0,720.44,55.76
225,3839,경상남도,거창군,62763.0,798.89,78.56
226,3840,경상남도,합천군,47000.0,983.1,47.81
227,3901,제주특별자치도,제주시,478700.0,983.69,486.63
228,3902,제주특별자치도,서귀포시,178383.0,881.06,202.46
