,SGG_cd,SD,SGG,ALL,N_AGING,A_R,N_YOUNG,Y_R
83,3110,경기도,고양시 덕양구,1041983.0,120333.0,11.55,140028.0,13.44
84,3111,경기도,과천시,57527.0,7474.0,12.99,7528.0,13.09
85,3112,경기도,구리시,200042.0,22362.0,11.18,26806.0,13.4
86,3113,경기도,남양주시,652353.0,80068.0,12.27,102182.0,15.66
87,3114,경기도,오산시,213437.0,17373.0,8.14,38833.0,18.19
88,3115,경기도,시흥시,419664.0,34511.0,8.22,62421.0,14.87
89,3116,경기도,군포시,281205.0,30278.0,10.77,39729.0,14.13
90,3117,경기도,의왕시,155767.0,18198.0,11.68,20206.0,12.97
91,3118,경기도,하남시,232487.0,26820.0,11.54,36183.0,15.56
92,3119,경기도,용인시 처인구,1004081.0,116882.0,11.64,167659.0,16.7
93,3120,경기도,파주시,437225.0,54718.0,12.51,70167.0,16.05
94,3121,경기도,이천시,213142.0,26935.0,12.64,32566.0,15.28
95,3122,경기도,안성시,182786.0,28134.0,15.39,25451.0,13.92
96,3123,경기도,김포시,392092.0,44611.0,11.38,69321.0,17.68
97,3124,경기도,화성시,691086.0,58053.0,8.4,136900.0,19.81
98,3125,경기도,광주시,345947.0,39203.0,11.33,50873.0,14.71
99,3126,경기도,양주시,212146.0,29098.0,13.72,31706.0,14.95
100,3127,경기도,포천시,152925.0,25451.0,16.64,17375.0,11.36
101,3128,경기도,여주시,111984.0,21083.0,18.83,13395.0,11.96
102,3135,경기도,연천군,45431.0,10423.0,22.94,4988.0,10.98
103,3137,경기도,가평군,62973.0,14271.0,22.66,6301.0,10.01
104,3138,경기도,양평군,115105.0,25584.0,22.23,12923.0,11.23
105,3201,강원도,춘천시,280514.0,43914.0,15.65,36395.0,12.97
106,3202,강원도,원주시,341337.0,45246.0,13.26,47190.0,13.83
107,3203,강원도,강릉시,213952.0,39784.0,18.59,24420.0,11.41
108,3204,강원도,동해시,92851.0,15881.0,17.1,12090.0,13.02
109,3205,강원도,태백시,45888.0,9626.0,20.98,5262.0,11.47
110,3206,강원도,속초시,82273.0,13464.0,16.37,9838.0,11.96
111,3207,강원도,삼척시,66652.0,14469.0,21.71,6752.0,10.13
112,3231,강원도,홍천군,70340.0,15899.0,22.6,7141.0,10.15
113,3232,강원도,횡성군,46281.0,12025.0,25.98,4004.0,8.65
114,3233,강원도,영월군,38195.0,9741.0,25.5,3251.0,8.51
115,3234,강원도,평창군,41443.0,9897.0,23.88,3836.0,9.26
116,3235,강원도,정선군,36342.0,8740.0,24.05,3322.0,9.14
117,3236,강원도,철원군,43184.0,8457.0,19.58,5192.0,12.02
118,3237,강원도,화천군,26022.0,4946.0,19.01,3062.0,11.77
119,3238,강원도,양구군,23835.0,4259.0,17.87,2948.0,12.37
120,3239,강원도,인제군,32038.0,5725.0,17.87,4090.0,12.77
121,3240,강원도,고성군,30029.0,7300.0,24.31,2415.0,8.04
122,3241,강원도,양양군,27207.0,7314.0,26.88,2330.0,8.56
123,3302,충청북도,충주시,208316.0,36703.0,17.62,24933.0,11.97
124,3303,충청북도,제천시,136432.0,25691.0,18.83,15701.0,11.51
125,3304,충청북도,청주시상당구,835590.0,96483.0,11.55,123785.0,14.81
126,3332,충청북도,보은군,34053.0,10461.0,30.72,2891.0,8.49
127,3333,충청북도,옥천군,51766.0,13720.0,26.5,5061.0,9.78
128,3334,충청북도,영동군,50240.0,14111.0,28.09,4422.0,8.8
